"","Date","mine_water_level"
"4223",2020-03-16,117.27
"4224",2020-03-17,117.32
"4225",2020-03-18,117.28
"4226",2020-03-19,117.21
"4227",2020-03-20,117.16
"4228",2020-03-21,117.14
"4229",2020-03-22,117.11
"4230",2020-03-23,117.1
"4231",2020-03-24,117.06
"4232",2020-03-25,117
"4233",2020-03-26,116.92
"4234",2020-03-27,116.89
"4235",2020-03-28,116.86
"4236",2020-03-29,116.87
"4237",2020-03-30,116.88
"4238",2020-03-31,116.81
"4239",2020-04-01,116.75
"4240",2020-04-02,116.68
"4241",2020-04-03,116.64
"4242",2020-04-04,116.67
"4243",2020-04-05,116.63
"4244",2020-04-06,116.57
"4245",2020-04-07,116.62
"4246",2020-04-08,116.56
"4247",2020-04-09,116.52
"4248",2020-04-10,116.51
"4249",2020-04-11,116.47
"4250",2020-04-12,116.4
"4251",2020-04-13,116.36
"4252",2020-04-14,116.41
"4253",2020-04-15,116.37
"4254",2020-04-16,116.3
"4255",2020-04-17,116.28
"4256",2020-06-06,115.67
"4257",2020-06-07,115.69
"4258",2020-06-08,115.75
"4259",2020-06-09,115.76
"4260",2020-06-10,115.74
"4261",2020-06-11,115.69
"4262",2020-06-12,115.66
"4263",2020-06-13,115.68
"4264",2020-06-14,115.69
"4265",2020-06-15,115.7
"4266",2020-06-16,115.68
"4267",2020-06-17,115.65
"4268",2020-06-18,115.63
"4269",2020-06-19,115.65
"4270",2020-06-20,115.68
"4271",2020-06-21,115.66
"4272",2020-06-22,115.67
"4273",2020-06-23,115.68
"4274",2020-06-24,115.64
"4275",2020-06-25,115.62
"4276",2020-06-26,115.57
"4277",2020-06-27,115.55
"4278",2020-06-28,115.55
"4279",2020-06-29,115.56
"4280",2020-06-30,115.54
"4281",2020-07-01,115.52
"4282",2020-07-02,115.53
"4283",2020-07-03,115.56
"4284",2020-07-04,115.55
"4285",2020-07-05,115.52
"4286",2020-07-06,115.53
"4287",2020-07-07,115.57
"4288",2020-07-08,115.52
"4289",2020-07-09,115.51
"4290",2020-07-10,115.47
"4291",2020-07-11,115.55
"4292",2020-07-12,115.57
"4293",2020-07-13,115.54
"4294",2020-07-14,115.49
"4295",2020-07-15,115.47
"4296",2020-07-16,115.48
"4297",2020-07-17,115.5
"4298",2020-07-18,115.49
"4299",2020-07-19,115.47
"4300",2020-07-20,115.47
"4301",2020-07-21,115.5
